original_feature,importance,importance_pct
red_career_sig_acc_against,0.0019901032,0.0019901034
diff_last_3_avg_sub_att_against,0.001987975,0.0019879753
diff_last_10_avg_td_success_against,0.0019868978,0.001986898
diff_last_3_avg_total_str_landed_against,0.0019829518,0.001982952
red_last_10_avg_submission_loss,0.0019820952,0.0019820954
blue_career_avg_td_attempted_against,0.001973347,0.0019733473
blue_last_5_avg_total_str_attempted_for,0.001972465,0.0019724653
diff_last_10_avg_sub_att_against,0.0019723205,0.0019723207
red_career_avg_total_str_attempted_for,0.0019718304,0.0019718306
stance_matchup_Orthodox_vs_Orthodox,0.001971508,0.0019715081
red_career_avg_kd_for,0.001970539,0.0019705393
blue_last_5_avg_sub_att_for,0.0019687735,0.0019687738
red_last_3_avg_decision_loss,0.0019666627,0.001966663
diff_last_10_avg_finish_win,0.0019632934,0.0019632936
blue_last_3_avg_finish_win,0.001963117,0.0019631172
blue_last_10_avg_rev_against,0.0019568761,0.0019568764
red_last_3_avg_sig_landed_for,0.0019492176,0.0019492178
diff_last_5_avg_finish_loss,0.001948551,0.0019485512
red_last_10_avg_sig_attempted_for,0.0019417377,0.0019417378
blue_last_5_avg_total_str_landed_for,0.0019379957,0.0019379958
red_last_10_avg_finish_loss,0.0019356406,0.0019356407
red_last_3_avg_ko_tko_win,0.0019350009,0.001935001
diff_last_10_avg_td_attempted_against,0.0019319238,0.0019319239
red_stance_Orthodox,0.0019261377,0.0019261378
red_last_5_avg_sig_landed_against,0.0019217262,0.0019217263
diff_last_10_avg_sig_attempted_against,0.0019103228,0.0019103229
blue_career_decision_win_rate,0.0019057792,0.0019057794
diff_last_10_avg_kd_for,0.0019054532,0.0019054533
diff_last_5_fight_count,0.0019048372,0.0019048373
red_career_avg_rounds_fought,0.001904343,0.0019043431
blue_last_3_avg_total_str_landed_for,0.0019030713,0.0019030714
diff_last_10_avg_fight_duration_seconds,0.0019017502,0.0019017503
blue_career_avg_ctrl_seconds_for,0.0018983316,0.0018983317
red_last_3_avg_kd_against,0.0018976721,0.0018976722
red_last_10_td_acc_against,0.0018971589,0.001897159
red_career_avg_sig_attempted_for,0.0018775361,0.0018775362
diff_career_avg_ctrl_seconds_for,0.0018664198,0.0018664199
diff_last_5_td_acc_for,0.0018661171,0.0018661172
red_career_avg_sig_attempted_against,0.001864748,0.0018647481
diff_last_10_avg_ko_tko_win,0.0018639542,0.0018639544
diff_last_3_avg_decision_win,0.0018621781,0.0018621782
weight_class_Women's Strawweight,0.0018592604,0.0018592605
diff_last_5_avg_kd_for,0.0018577119,0.001857712
diff_last_5_avg_finish_win,0.0018540764,0.0018540765
red_career_avg_td_attempted_for,0.0018465432,0.0018465433
red_last_5_avg_td_success_against,0.0018462829,0.001846283
blue_last_3_fight_count,0.0018410189,0.001841019
blue_last_5_sig_acc_against,0.0018397962,0.0018397963
diff_career_avg_submission_loss,0.0018396439,0.001839644
diff_career_avg_td_success_against,0.001837186,0.0018371862
blue_last_5_avg_sig_attempted_against,0.0018331319,0.001833132
diff_career_avg_sig_attempted_for,0.0018323932,0.0018323933
blue_last_3_avg_total_str_landed_against,0.001830432,0.0018304321
blue_last_10_avg_rev_for,0.0018292133,0.0018292135
blue_career_ko_tko_win_rate,0.0018270458,0.0018270459
diff_last_3_avg_ko_tko_win,0.001822248,0.0018222481
diff_last_3_avg_sig_attempted_against,0.0018222011,0.0018222012
diff_career_avg_td_attempted_against,0.0018198986,0.0018198987
red_career_sig_acc_for,0.0018175882,0.0018175883
blue_last_3_avg_win,0.0018172679,0.001817268
weight_class_Featherweight,0.0018161313,0.0018161314
red_last_10_avg_decision_loss,0.0018156086,0.0018156087
red_last_3_avg_total_str_landed_against,0.0018155853,0.0018155854
diff_last_3_avg_rev_for,0.0018146032,0.0018146033
red_career_avg_decision_loss,0.0018054352,0.0018054353
diff_career_avg_sig_landed_for,0.0017948113,0.0017948115
red_last_10_avg_total_str_landed_against,0.0017915525,0.0017915526
red_last_3_avg_total_str_attempted_for,0.001787925,0.0017879251
blue_career_avg_td_success_against,0.0017823118,0.0017823119
diff_last_5_sig_acc_for,0.0017759735,0.0017759736
red_last_3_sig_acc_for,0.0017729389,0.001772939
blue_last_10_avg_ctrl_seconds_against,0.0017715564,0.0017715566
diff_career_finish_loss_rate,0.0017701826,0.0017701827
red_last_5_avg_total_str_landed_against,0.0017637648,0.0017637649
blue_last_10_avg_sig_landed_against,0.0017632334,0.0017632336
blue_last_3_avg_submission_loss,0.0017625319,0.001762532
blue_last_3_avg_ctrl_seconds_against,0.0017599728,0.0017599729
diff_last_5_avg_sig_landed_against,0.0017549086,0.0017549087
blue_last_10_avg_sub_att_for,0.0017397001,0.0017397002
diff_career_avg_fight_duration_seconds,0.0017349833,0.0017349834
diff_last_10_avg_rev_for,0.0017345798,0.0017345799
blue_last_3_avg_total_str_attempted_against,0.0017321152,0.0017321153
red_last_3_avg_win,0.0017314117,0.0017314118
diff_career_avg_total_str_landed_against,0.0017291381,0.0017291382
diff_last_5_avg_ctrl_seconds_against,0.0017263289,0.001726329
diff_last_5_avg_td_attempted_against,0.0017165022,0.0017165024
red_career_avg_total_str_attempted_against,0.0017125781,0.0017125782
diff_last_5_avg_total_str_landed_for,0.0017116843,0.0017116844
red_career_avg_rev_for,0.00170504,0.0017050401
blue_career_losses,0.0017016855,0.0017016856
blue_last_5_avg_td_attempted_against,0.0016997479,0.001699748
diff_last_10_td_acc_against,0.0016964981,0.0016964982
diff_career_ko_tko_win_rate,0.0016962886,0.0016962887
diff_last_5_avg_ko_tko_win,0.0016850748,0.0016850749
diff_career_avg_total_str_attempted_against,0.0016812554,0.0016812555
diff_last_3_avg_total_str_landed_for,0.0016786414,0.0016786415
blue_last_5_td_acc_for,0.0016637722,0.0016637723
red_career_avg_rev_against,0.0016618869,0.001661887
blue_last_5_avg_td_success_against,0.001659158,0.0016591582
diff_career_avg_kd_for,0.0016588791,0.0016588792
blue_last_10_avg_rounds_fought,0.0016586449,0.001658645
diff_last_10_td_acc_for,0.0016529313,0.0016529314
blue_last_5_avg_kd_for,0.0016526399,0.00165264
blue_last_3_sig_acc_for,0.001652003,0.0016520031
red_last_10_avg_rounds_fought,0.0016503665,0.0016503666
diff_career_avg_ko_tko_win,0.0016444656,0.0016444657
red_last_3_avg_sub_att_for,0.0016414357,0.0016414358
diff_career_avg_decision_loss,0.0016352105,0.0016352106
diff_last_3_avg_finish_win,0.0016333706,0.0016333708
blue_last_10_avg_finish_loss,0.0016288846,0.0016288847
blue_last_3_avg_td_success_against,0.0016203158,0.001620316
blue_last_10_avg_sig_attempted_against,0.0016166803,0.0016166804
diff_last_5_avg_sig_attempted_against,0.001611588,0.0016115882
red_stance_Southpaw,0.0016076944,0.0016076945
red_last_5_avg_sub_att_for,0.0015995781,0.0015995782
red_last_5_avg_td_attempted_for,0.0015950458,0.0015950459
blue_last_5_avg_sig_landed_against,0.0015926268,0.0015926269
diff_career_decision_win_rate,0.0015914782,0.0015914784
blue_last_10_avg_td_success_against,0.0015912993,0.0015912994
blue_last_10_sig_acc_for,0.0015900689,0.001590069
red_last_5_avg_td_attempted_against,0.0015889128,0.0015889129
diff_last_10_avg_td_attempted_for,0.0015592858,0.0015592859
red_last_5_avg_decision_win,0.0015485155,0.0015485156
diff_career_avg_td_success_for,0.0015458852,0.0015458853
red_last_10_avg_rev_against,0.0015444879,0.001544488
red_height_inches,0.0015409221,0.0015409222
diff_last_10_avg_ctrl_seconds_for,0.0015318476,0.0015318478
red_last_5_td_acc_against,0.0015313722,0.0015313723
red_last_10_avg_sub_att_against,0.0015187272,0.0015187273
diff_last_5_avg_kd_against,0.0015113603,0.0015113604
red_last_5_avg_sig_attempted_for,0.0014911166,0.0014911167
diff_last_3_avg_td_success_against,0.0014834965,0.0014834966
