raceId,driverId,duplicate_rows,differing_columns
814,647,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
815,579,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
815,697,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
817,642,2,"resultId, number, grid, positionOrder, laps"
820,501,2,"resultId, number, grid, positionOrder, laps, statusId"
823,759,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
828,579,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
828,647,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
828,786,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, statusId"
831,642,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
835,529,2,"resultId, constructorId, number, grid, position, positionText, positionOrder, points, laps, statusId"
838,627,2,"resultId, number, grid, position, positionText, positionOrder, laps, statusId"
839,579,2,"resultId, number, grid, positionOrder, points, laps, statusId"
839,647,2,"resultId, number, grid, position, positionText, positionOrder, points, laps, statusId"
